,university_name,alumni,award,hici,ns,pub,result.cluster
1,Harvard University,100,100,100,100,100,2
2,University of Cambridge,99.8,93.4,53.3,56.6,70.9,2
3,Stanford University,41.1,72.2,88.5,70.9,72.3,2
4,"University of California, Berkeley",71.8,76,69.4,73.9,72.2,2
5,Massachusetts Institute of Technology (MIT),74,80.6,66.7,65.8,64.3,2
6,California Institute of Technology,59.2,68.6,59.8,65.8,52.5,2
7,Columbia University,79.4,60.6,56.1,54.2,69.5,2
8,Princeton University,63.4,76.8,60.9,48.7,48.5,2
9,University of Chicago,75.6,81.9,50.3,44.7,56.4,2
10,University of Oxford,64.3,59.1,48.4,55.6,68.4,2
11,Yale University,52.1,44.5,60.3,57.2,63.9,2
12,Cornell University,46.5,52.4,55,48.8,66.3,2
13,"University of California, San Diego",17.7,34.7,59.8,56.5,64.5,2
14,"University of California, Los Angeles",27.3,32.8,56.7,50.1,75.6,2
15,University of Pennsylvania,35.5,35.1,56.7,42.9,71.8,2
16,University of Wisconsin - Madison,43,36.3,52.1,46.3,68.7,2
17,University of Washington,28.8,32.4,53.9,47.1,73.8,2
18,"University of California, San Francisco",0,37.6,55.6,57.9,58.8,2
19,The Johns Hopkins University,51.4,28.3,41.6,52.2,67.7,2
20,The University of Tokyo,36,14.4,38.5,52.1,86.5,2
21,University of Michigan - Ann Arbor,43,0,61.9,43,76.5,2
22,Kyoto University,39.7,34.1,34.2,37,72.3,2
23,"The Imperial College of Science, Technology and Medicine",20.8,38.1,40.8,38.2,64.6,2
24,University of Toronto,28.1,19.7,39.3,38.9,76.7,2
25,University of Illinois at Urbana-Champaign,41.6,37.4,44.4,34.1,58,2
26,University College London,30.7,32.9,37.7,41.5,60.5,2
27,Swiss Federal Institute of Technology Zurich,40.2,37,35.1,41.1,43.4,2
28,Washington University in St. Louis,25.1,26.6,38.5,46.5,53.9,2
29,New York University,33.8,25,43,35.3,55.4,2
30,Rockefeller University,22.6,59.8,28.3,44.1,24,2
31,Northwestern University,21.7,19.3,44.4,33.8,57.6,2
32,Duke University,20.8,0,47.1,45.3,60.8,2
33,"University of Minnesota, Twin Cities",36,0,49.7,35.2,68.4,2
34,"University of California, Santa Barbara",0,36,42.3,39,44.1,2
35,University of Colorado at Boulder,16.6,29.8,40.8,36.6,46.3,2
36,The University of Texas at Austin,21.7,17.1,49.1,30,54.8,2
37,University of British Columbia,20.8,19.3,32.4,32.5,60.4,1
38,The University of Texas Southwestern Medical Center at Dallas,24.3,33.9,31.4,38.2,37.9,1
39,Pennsylvania State University - University Park,14,0,45.8,37.9,59.9,2
40,Vanderbilt University,12.5,30.2,34.2,24.5,49.2,1
41,"University of California, Davis",0,0,46.5,34.5,64,2
42,Utrecht University,30.7,21.4,27.2,27.3,55.7,1
43,"Rutgers, The State University of New Jersey - New Brunswick",15.4,20.4,36.9,32.9,47.1,1
44,University of Pittsburgh,25.1,0,40.1,25.9,64.3,1
45,Karolinska Institute,30.7,27.8,33.3,19.7,47.3,1
46,Pierre and Marie  Curie University - Paris 6,35.7,23.9,23.6,24.2,51.2,1
47,The University of Edinburgh,22.6,17.1,26.1,35.8,49.4,1
48,"University of California, Irvine",0,30,32.4,28.5,48.2,1
49,"University of Maryland, College Park",25.9,0,40.8,33.6,54.6,2
50,University of Southern California,0,27.3,37.7,23.6,52.8,1
51,University of Munich,37.1,21.1,15.7,30.4,51.9,1
52,Technical University Munich,43,24.1,24.8,20.7,46.5,1
53,The University of Manchester,27.3,19.3,23.6,22.6,57.3,1
54,Carnegie Mellon University,30.7,33.5,32.4,14.7,38.3,1
55,University of North Carolina at Chapel Hill,12.5,0,35.1,32.8,59.5,1
56,The Australian National University,17.7,12.9,36.9,29,45.1,1
57,University of Copenhagen,30.7,24.7,23.6,22.8,45.7,1
58,University of Florida,15.4,0,35.1,25,65.2,1
59,University of Zurich,12.5,27.3,19.2,30.3,47.2,1
60,Uppsala University,25.9,32.9,11.1,28.7,49.1,1
61,University of Paris Sud (Paris 11),33.2,34.2,13.6,19.6,44.9,1
62,Osaka University,12.5,0,23.6,31.1,66.8,1
63,The Ohio State University - Columbus,17.7,0,40.8,21.5,61.2,1
64,University of Bristol,10.9,18.2,30.4,24.5,47.5,1
65,The University of Sheffield,23.5,14.4,23.6,29.2,46.6,1
66,University of Rochester,33.2,9.1,27.2,25.3,43,1
67,McGill University,28.8,0,28.3,23.6,56.8,1
68,Moscow State University,51.4,34.9,0,7.5,54,3
69,Case Western Reserve University,40.7,11.8,20.8,23,44.8,1
70,University of Oslo,25.9,34.1,17.6,18.2,41.5,1
71,University of Heidelberg,10.9,27.7,20.8,20.9,48.1,1
72,Leiden University,25.1,15.8,27.2,19.3,46.7,1
73,Tohoku University,18.8,0,19.2,26.9,65.3,1
74,University of Arizona,0,0,29.4,36.8,55.8,1
75,Purdue University - West Lafayette,18.8,17.1,27.2,21.4,49.8,1
76,University of Helsinki,18.8,18.2,15.7,21.4,54.5,1
77,Michigan State University,12.5,0,37.7,26.6,51,1
78,Rice University,21.7,22.3,23.6,24.4,30.8,1
79,The Hebrew University of Jerusalem,33.2,0,23.6,27.1,46.6,1
80,Boston University,15.4,0,31.4,28.1,50.8,1
81,King's College London,16.6,23.5,20.8,17.4,44.6,1
82,University of Melbourne,15.4,14.4,22.2,18.7,53.5,1
83,University of Nottingham,15.4,20.4,20.8,19,45.6,1
84,University of Goettingen,38.7,20.4,15.7,17.5,40.2,1
85,University of Vienna,25.1,15.8,7.9,22.7,52.2,3
86,Brown University,0,13.9,29.4,25.5,40.7,1
87,Indiana University Bloomington,14,18.2,24.8,21.2,42,1
88,University of Basel,25.9,17.5,19.2,21.4,34.5,1
89,Texas A&M University - College Station,0,0,32.4,24.4,55,1
90,McMaster University,16.6,19.3,22.2,15.9,43.5,1
91,University of Freiburg,25.1,21.4,17.6,18.2,39.5,1
92,University of Strasbourg,29.4,22.9,19.2,19.5,32.7,1
93,Ecole Normale Superieure - Paris,47.8,25,13.6,18.1,27.2,1
94,Stockholm University,29.4,30.2,15.7,14.3,35.3,3
95,Tokyo Institute of Technology,16.6,0,22.2,22.5,50.6,1
96,University of Utah,0,0,30.4,31.4,45.5,1
97,University of Roma - La Sapienza,16.6,15.8,11.1,21.8,54.6,1
98,University of Birmingham,25.1,11.2,22.2,13.4,47,1
99,Lund University,29.4,0,24.8,19.4,50.1,1
100,Tufts University,18.8,17.1,20.8,19.1,37.4,1
101,Aarhus University,15.4,19.3,7.9,22.3,41.6,3
102,Arizona State University - Tempe,0,14.4,20.8,26.3,41.9,1
103,Baylor College of Medicine,0,0,17.6,34.5,44,1
104,Catholic University of Leuven,0,0,19.2,16,48.7,1
105,Catholic University of Louvain,14,13.9,13.6,8.3,44.7,3
106,College of France,15.4,37.4,11.1,11.7,16.9,3
107,Dartmouth College,24.3,0,20.8,22,33,1
108,Emory University,0,0,28.3,19,48.4,1
109,Georgia Institute of Technology,16.6,0,23.6,19,43.9,1
110,Ghent University,8.9,15.8,15.7,9.1,48.8,3
111,Hokkaido University,0,0,15.7,14.1,53.8,3
112,Kyushu University,0,0,13.6,21.3,52.8,1
113,Mayo Medical School,0,0,27.2,6.2,50.2,1
114,Nagoya University,0,14.4,15.7,20.5,52.3,1
115,National University of Singapore,0,0,15.7,13.8,56.7,3
116,North Carolina State University - Raleigh,0,0,29.4,17.8,44.3,1
117,Oregon State University,15.4,0,24.8,25.7,36.6,1
118,Seoul National University,0,0,7.9,14.6,61.2,3
119,State University of New York at Stony Brook,0,0,17.6,31.4,40.7,1
120,Technion-Israel Institute of Technology,18.8,23.5,13.6,14.1,42.1,3
121,Tel Aviv University,0,0,24.8,20.1,54.7,1
122,The University of Georgia,0,0,28.3,21.1,46.4,1
123,The University of Glasgow,10.9,0,19.2,17.1,44.4,1
124,The University of Queensland,16.6,0,7.9,19.9,50.1,3
125,University Libre Bruxelles,28.1,19.3,0,12.8,37.8,3
126,University of Alberta,15.4,0,17.6,17.4,55.1,1
127,University of Amsterdam,8.9,0,19.2,22.2,50.1,1
128,University of Bonn,19.8,20.4,15.7,11.3,41.3,3
129,"University of California, Riverside",0,0,28.3,25.9,36.5,1
130,"University of California, Santa Cruz",0,0,28.3,28.5,31.1,1
131,University of Frankfurt,36.6,9.1,17.6,16.5,37.9,1
132,University of Geneva,29.4,0,19.2,23.8,33.7,1
133,University of Groningen,0,20.4,13.6,18.5,43.2,1
134,University of Hamburg,16.6,0,17.6,20.7,40.9,1
135,University of Hawaii at Manoa,0,0,27.2,30.1,36.8,1
