"","player_api_id","player_name","no_of_appearences","overall_rating","gk_rating","no_of_leagues"
"1",505942,"Aaron Appindangoye",5,67,43,1
"2",155782,"Aaron Cresswell",75,74,121,1
"3",162549,"Aaron Doran",90,71,125,1
"4",30572,"Aaron Galindo",7,75,111,1
"5",23780,"Aaron Hughes",162,78,129,1
"6",27316,"Aaron Hunt",155,79,132,1
"7",564793,"Aaron Kuhl",4,61,64,1
"8",30895,"Aaron Lennon",179,84,146,1
"9",528212,"Aaron Lennox",1,48,237,1
"10",101042,"Aaron Meijers",157,69,54,1
"11",23889,"Aaron Mokoena",22,75,154,1
"12",231592,"Aaron Mooy",6,75,54,1
"13",163222,"Aaron Muirhead",16,63,38,1
"14",40719,"Aaron Niguez",21,71,129,2
"15",75489,"Aaron Ramsey",116,83,150,1
"16",597948,"Aaron Splaine",2,55,55,1
"17",161644,"Aaron Taylor-Sinclair",35,65,49,1
"18",23499,"Aaron Wilbraham",1,67,163,1
"19",120919,"Aatif Chahechouhe",1,77,50,1
"20",46447,"Abasse Ba",11,68,111,1
"21",167027,"Abdelaziz Barrada",72,76,47,2
"22",245653,"Abdelfettah Boukhriss",1,64,51,1
"23",128456,"Abdelhamid El Kaoutari",142,73,118,2
"24",42664,"Abdelkader Ghezzal",86,73,122,2
"25",425950,"Abdellah Zoubir",1,59,62,1
"26",38423,"Abdelmajid Oulmers",23,70,129,1
"27",3264,"Abdelmalek Cherrad",1,62,98,1
"28",467485,"Abdelmalek El Hasnaoui",3,63,52,1
"29",306735,"Abdelouahed Chakhsi",68,56,46,1
"30",41659,"Abderrazak Jadid",18,71,133,2
"31",31684,"Abdeslam Ouaddou",34,78,150,1
"32",32637,"Abdessalam Benjelloun",8,72,102,2
"33",563215,"Abdou Diallo",20,66,41,2
"34",41093,"Abdou Traore",36,71,128,1
"35",564712,"Abdoul Ba",1,64,60,1
"36",67334,"Abdoul Karim Yoda",35,72,127,2
"37",173955,"Abdoul Razzagui Camara",26,72,124,1
"38",39562,"Abdoulay Konko",127,79,138,2
"39",191784,"Abdoulaye Ba",57,73,65,2
"40",210400,"Abdoulaye Bamba",19,69,50,1
"41",201915,"Abdoulaye Diaby",20,73,50,1
"42",194479,"Abdoulaye Diallo Sadio,22",39,74,57,1
"43",189181,"Abdoulaye Diallo",9,69,341,1
"44",352887,"Abdoulaye Doucoure",59,73,68,2
"45",40005,"Abdoulaye Faye",81,76,152,1
"46",409003,"Abdoulaye Keita",1,60,54,1
"47",37280,"Abdoulaye Meite",42,79,135,2
"48",439366,"Abdoulaye Toure",1,64,48,1
"49",148827,"Abdoulwahid Sissoko",30,69,49,2
"50",173011,"Abdourahman Dampha",17,63,132,1
"51",419681,"Abdul Aziz Tetteh",13,67,60,1
"52",196947,"Abdul Majeed Waris",36,74,125,1
"53",89405,"Abdul Osman",59,66,131,1
"54",324910,"Abdul Rahman Baba",56,78,50,2
"55",67952,"Abdul-Yakinu Iddi",22,66,121,1
"56",31012,"Abdulkader Keita",12,82,86,1
"57",176301,"Abdulla Fatadi",7,57,60,1
"58",307227,"Abdullah Al Hafith",3,65,54,1
"59",176302,"Abdullah Omar",29,62,121,1
"60",525595,"Abdullahi Shehu",15,71,65,1
"61",24385,"Abel Aguilar",110,77,142,3
"62",29904,"Abel Gomez",30,73,152,1
"63",105548,"Abel Hernandez",57,78,99,2
"64",172875,"Abel Issa Camara",27,69,45,1
"65",302985,"Abel Khaled",1,61,63,1
"66",240556,"Abel Tamata",44,69,40,1
"67",40938,"Abel",35,73,143,1
"68",37422,"Abella Perez Damia",119,74,141,1
"69",114503,"Abiola Dauda",22,69,118,2
"70",27277,"Abou Diaby",53,79,139,2
"71",181344,"Aboubacar Tandia",3,62,113,1
"72",581141,"Aboubakar Kamara",1,61,50,1
"73",80592,"Aboubakar Oumarou",16,68,50,1
"74",165706,"Abraham Gonzalez",36,73,126,1
"75",210453,"Abraham Guie Gneki",11,70,44,2
"76",208635,"Abraham Kudemor",6,65,56,1
"77",213695,"Abraham Minero",61,73,51,1
"78",33715,"Abraham Paz Cruz",27,75,148,1
"79",41489,"Achille Coser",1,61,308,1
"80",25571,"Achille Emana",26,79,144,1
"81",660145,"Achille Vaarnold",1,62,47,1
"82",45960,"Achmed Ahahaoui",48,67,126,1
"83",293235,"Achraf Lazaar",52,73,53,1
"84",34487,"Aco Stojkov",22,60,120,1
"85",26331,"Adailton",66,75,118,1
"86",41749,"Adailton",35,73,141,1
"87",495841,"Adalberto Penaranda",17,72,47,1
"88",519835,"Adam Armstrong",1,67,55,1
"89",68840,"Adam Banas",98,66,45,1
