,administrative_area_level_1
1,Florida
2,Arizona
3,California
4,California
5,Georgia
6,Alabama
7,New York
8,Utah
9,Ohio
10,Oregon
11,Colorado
12,Florida
13,Nevada
14,Washington
15,Kansas
16,California
17,Oklahoma
18,Utah
19,Kansas
20,Iowa
21,Michigan
22,California
23,Kansas
24,Illinois
25,Indiana
26,Washington
27,Missouri
28,West Virginia
29,Kansas
30,Texas
31,California
32,North Carolina
33,Oregon
34,Texas
35,Colorado
36,Texas
37,Maryland
38,Kansas
39,New York
40,California
41,California
42,Indiana
43,Texas
44,Texas
45,California
46,New York
47,Florida
48,Michigan
49,Tennessee
50,California
51,Indiana
52,Tennessee
53,California
54,Alaska
55,California
56,New York
57,Minnesota
58,California
59,Texas
60,Kansas
61,California
62,New York
63,Maryland
64,Pennsylvania
65,New York
66,California
67,New Hampshire
68,Rhode Island
69,California
70,South Carolina
71,California
72,Colorado
73,Alabama
74,North Carolina
75,Kansas
76,California
77,California
78,California
79,New York
80,California
81,New Jersey
82,Massachusetts
83,California
84,Louisiana
85,Kansas
86,California
87,North Carolina
88,Indiana
89,California
90,Mississippi
91,Massachusetts
92,Kansas
93,Ohio
94,California
95,Maryland
96,Pennsylvania
97,Pennsylvania
98,Ohio
99,California
100,Oregon
101,Florida
102,South Dakota
103,Texas
104,District of Columbia
105,Tennessee
106,South Dakota
107,California
108,Kansas
109,Texas
110,Pennsylvania
111,California
112,Maryland
113,South Carolina
114,Louisiana
115,Idaho
116,California
117,New York
118,Utah
119,California
120,California
121,Georgia
122,Kansas
123,New York
124,New Jersey
125,Virginia
126,Texas
127,Colorado
128,California
129,Georgia
130,District of Columbia
131,Texas
132,Texas
133,New Mexico
134,California
135,California
136,Maryland
137,Texas
138,New York
139,Florida
140,Wisconsin
141,District of Columbia
142,Massachusetts
143,Iowa
144,Illinois
145,New York
146,North Carolina
147,Louisiana
148,District of Columbia
149,Colorado
150,Wyoming
151,Georgia
152,District of Columbia
153,Washington
154,Florida
155,New Hampshire
156,California
157,Florida
158,North Dakota
159,Alabama
160,Pennsylvania
161,Georgia
162,New Jersey
163,Texas
164,Tennessee
165,California
166,New York
167,Nevada
168,Florida
169,Washington
170,Pennsylvania
171,New York
172,Kansas
173,North Carolina
174,Michigan
175,California
176,Florida
177,Massachusetts
178,Colorado
179,Oregon
180,California
181,Texas
182,Kansas
183,California
184,Texas
185,South Dakota
186,Maryland
187,Pennsylvania
188,Massachusetts
189,North Carolina
190,California
191,Florida
192,California
193,Illinois
194,Arizona
195,Washington
